Author,Year,estimate_type,PA_Varme,Pa_varNotes,Construct,X_varNotes,N,B_uni,B_SE_uni,beta_uni,CI_lower_uni,CI_upper_uni,p_valueBeta_uni,t_uni,F_uni,p_valueF_uni,Rsqrt_uni,r_uni,p_valuerCoeff_uni,Odds_Ratio,CI_OR,p_valueOR,Rho_uni,p_valueRho_uni,Variates_multi,B_multi,SE_B_Multi,beta_multi,p_valueBeta_multi,F_multi,p_valueF_multi,SE_multi,t_multi,p_multi,CI_1_multi,CI_2_multi,Rsqrt_multi,B_PA_X,SE_PA_X,OR_PA_X,CI_1_PA_X,CI_2_PA_X,P_value_PA_X,N_PA_X,Proportion_Percent_PA_X,Mean_PA_X,SD_PA_X,Median_PA_X,IRQ_First_PA_X,IRQ_Second_PA_X,F_PA_X,p_F_PA_X,OR_PA_noX,CI_1_PA_noX,CI_2_,p_PA_noX,N_PA_noX,Proportion_Percent_PA_noX,Mean_PA_noX,SD_PA_noX,Median_PA_noX,IRQ_First_PA_noX,IRQ_Second_PA_noX,t_value_PA_noX,p_valueTPA_noX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,EnergyExpend_total,Average daily kcals expended per kg(Accelerometer),Symptoms1,PROMIS-29 fatigue,204,,,,,,,,,,,-0.04,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,Duration_dayMins,Average daily minutes ≥ moderate inteity activity(Accelerometer),,KCCQ Social limitation,204,,,,,,,,,,,0.14,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,Duration_dayMins,Average daily minutes ≥ moderate inteity activity(Accelerometer),,KCCQ overall summary score ,204,,,,,,,,,,,0.19,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,Duration_dayMins,Average daily minutes ≥ moderate inteity activity(Accelerometer),,KCCQ clinical summary score,204,,,,,,,,,,,0.22,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,EnergyExpend_total,Average daily kcals expended per kg(Accelerometer),,KCCQ Social limitation,204,,,,,,,,,,,0.14,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,EnergyExpend_total,Average daily kcals expended per kg(Accelerometer),,KCCQ overall summary score ,204,,,,,,,,,,,0.11,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,EnergyExpend_total,Average daily kcals expended per kg(Accelerometer),,KCCQ clinical summary score,204,,,,,,,,,,,0.12,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,MultivariateBeta,EnergyExpend_total,Active energy expenditure (kcal),Appetite,Appetite,186,0.00,,0.18,,,0.02,,5.79,0.02,0.03,,,,,,,,"Age
NYHA
BNP",0.00,,0.11,0.15,2.85,0.03,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,MultivariateBeta,EnergyExpend_total,METs daily average ,Appetite,Appetite,186,3.42,,0.20,,,0.01,,7.58,0.01,0.04,,,,,,,,"Age
NYHA
BNP",2.33,,0.14,0.08,3.11,0.02,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,UnivarateBeta,EnergyExpend_total,Active energy expenditure (kcal),Appetite,Appetite,186,0.00,,0.18,,,0.02,,5.79,0.02,0.03,,,,,,,,"Age
NYHA
BNP",0.00,,0.11,0.15,2.85,0.03,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,UnivarateBeta,EnergyExpend_total,METs daily average ,Appetite,Appetite,186,3.42,,0.20,,,0.01,,7.58,0.01,0.04,,,,,,,,"Age
NYHA
BNP",2.33,,0.14,0.08,3.11,0.02,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,MultivariateBeta,Steps/d_total,Steps/d ,Appetite,Appetite,186,0.00,,0.25,,,0.00,,12.72,0.00,0.07,,,,,,,,"Age
NYHA
BNP",0.00,,0.20,0.02,3.77,0.01,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,UnivarateBeta,Steps/d_total,Steps/d ,Appetite,Appetite,186,0.00,,0.25,,,0.00,,12.72,0.00,0.07,,,,,,,,"Age
NYHA
BNP",0.00,,0.20,0.02,3.77,0.01,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,MultivariateBeta,EnergyExpend_total,Total energy expenditure (kcal) ,Appetite,Appetite,185,0.00,,0.15,,,0.04,,4.25,0.04,0.02,,,,,,,,"Age
NYHA
BNP",0.00,,0.10,0.23,2.70,0.03,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,UnivarateBeta,EnergyExpend_total,Total energy expenditure (kcal) ,Appetite,Appetite,185,0.00,,0.15,,,0.04,,4.25,0.04,0.02,,,,,,,,"Age
NYHA
BNP",0.00,,0.10,0.23,2.70,0.03,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,MultivariateBeta,,Self-reported physical activity ,Appetite,Appetite,185,0.28,,0.14,,,0.06,,3.67,0.06,0.02,,,,,,,,"Age
NYHA
BNP",0.18,,0.09,0.26,2.67,0.03,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreae et al., 2019",2019,UnivarateBeta,,Self-reported physical activity ,Appetite,Appetite,185,0.28,,0.14,,,0.06,,3.67,0.06,0.02,,,,,,,,"Age
NYHA
BNP",0.18,,0.09,0.26,2.67,0.03,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klompstra et al., 2018",2018,UnivarateBeta,IPAQ_scale,Self-reported physical activity ,Age,Age,154,,,-0.03,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klompstra et al., 2018",2018,UnivarateBeta,IPAQ_scale,Self-reported physical activity ,Motivation,Exercise motivaiton,154,,,0.58,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klompstra et al., 2018",2018,UnivarateBeta,IPAQ_scale,Self-reported physical activity ,NYHA,NYHA class,154,,,-0.41,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klompstra et al., 2018",2018,r,IPAQ_scale,Self-reported physical activity ,SelfEfficacy,Self-efficacy,154,,,0.76,,,0.06,,,,,0.46,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klompstra et al., 2018",2018,UnivarateBeta,IPAQ_scale,Self-reported physical activity ,Sex,Sex,154,,,0.55,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evangelista et al., 2004",2004,Mean_SD,ComplienceRate,self-reported compliance rate,Age,Age,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00,,68.59,5.29,,,,,,,,,,140.00,,46.21,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaarsma et al., 2000",2000,Binary,Exercise_complient_Binary,exercise Complient vs non-complient ,Decision,Decision,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,10.17,,,,,,,,122.00,89.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaarsma et al., 2000",2000,Binary,Exercise_complient_Binary,exercise Complient vs non-complient ,Knowledge,Knowledge,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.69,,,,,,,,127.00,98.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaarsma et al., 2000",2000,Binary,Exercise_complient_Binary,exercise Complient vs non-complient ,Skill,Skill,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,62.71,,,,,,,,91.00,37.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaarsma et al., 2000",2000,Binary,Exercise_complient_Binary,exercise Complient vs non-complient ,UnknownFactors,unknown factors,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,25.42,,,,,,,,113.00,74.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),Age,"Age
",116,,,,,,,,,,,-0.19,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),Education,"Education
",116,,,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),Employment,"Employment
",116,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),HFDuration,"HF_duration
",116,,,,,,,,,,,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),Income,"Income
",116,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),LVEF,"LVEF
",116,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),Male,"
Male
",116,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),NYHA,"NYHA
",116,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),QoL,QoL,116,,,,,,,,,,,-0.18,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),SelfEfficacy,"Self_efficacy
",116,,,,,,,,,,,-0.33,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee et al., 2017",2017,r,EnergyExpend_total,Physical ictivity <=MET score of 495 (3.3 MET 􏰍 30 minutes 􏰍 5 days = 495 MET-min/week),Smoking,"Smoking
",116,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chien et al., 2014",2014,r,Category_EnergyExpendHigh,PAhigh DEE,Age,Age,111,,,,,,,,,,,-0.20,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
